compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,storage_bounded,8.0,P1,c1-a-043,0.01739130434782609,0.625,0.00015566400000000002,111.72335509704291,19.5
lingua2,storage_bounded,8.0,P2,c1-a-043,0.01739130434782609,0.625,0.00015483600000000002,112.32080619381854,1.0
lingua2,storage_bounded,8.0,P3,c1-a-043,0.6173913043478261,0.625,0.00016491000000000002,3743.8075577455947,1.0
lingua2,storage_bounded,8.0,P1,c1-a-044,0.07666666666666667,0.625,0.00015497400000000002,494.70663896309486,19.1875
lingua2,storage_bounded,8.0,P2,c1-a-044,0.06000000000000001,0.625,0.00015414600000000002,389.24136857265194,1.0
lingua2,storage_bounded,8.0,P3,c1-a-044,0.82,0.625,0.00016739400000000002,4898.622411794926,1.0
lingua2,storage_bounded,8.0,P1,c1-a-045,0.03643892339544513,0.625,0.00015469800000000002,235.54876853899293,16.833333333333332
lingua2,storage_bounded,8.0,P2,c1-a-045,0.0,0.625,0.000153594,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-045,0.6,0.625,0.00016422000000000002,3653.635367190354,1.0
lingua2,storage_bounded,8.0,P1,c1-a-046,0.08739130434782609,0.625,0.000156216,559.4260789408645,16.473684210526315
lingua2,storage_bounded,8.0,P2,c1-a-046,0.06999999999999999,0.625,0.00015511200000000003,451.2868121099591,1.0
lingua2,storage_bounded,8.0,P3,c1-a-046,0.8166666666666667,0.625,0.000168774,4838.817985392694,1.0
lingua2,storage_bounded,8.0,P1,c1-a-047,0.055714285714285716,0.625,0.00015400800000000002,361.7622832209087,17.58823529411765
lingua2,storage_bounded,8.0,P2,c1-a-047,0.016666666666666666,0.625,0.00015318000000000002,108.80445663054357,1.0
lingua2,storage_bounded,8.0,P3,c1-a-047,1.0,0.625,0.00017015400000000002,5877.029044277536,1.0
lingua2,storage_bounded,8.0,P1,c1-a-048,0.01739130434782609,0.625,0.00015635400000000001,111.23031292980089,18.58823529411765
lingua2,storage_bounded,8.0,P2,c1-a-048,0.0,0.625,0.00015552600000000001,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-048,0.8,0.625,0.00016932600000000003,4724.61405808913,1.0
lingua2,storage_bounded,8.0,P1,c1-a-049,0.037391304347826095,0.625,0.00015525,240.845760694532,17.055555555555557
lingua2,storage_bounded,8.0,P2,c1-a-049,0.02,0.625,0.00015414600000000002,129.7471228575506,1.0
lingua2,storage_bounded,8.0,P3,c1-a-049,0.62,0.625,0.00016449600000000003,3769.0886100573866,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-000,0.5872835497835498,0.625,0.00016905000000000002,3474.02277304673,2.4552845528455283
lingua2,accuracy_bounded,2.0,P2,c1-a-000,0.5765692640692641,0.625,0.00016256400000000002,3546.721685423981,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-000,0.9142857142857143,0.625,0.000168084,5439.45714217721,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-001,0.5910236822001528,0.625,0.00017043,3467.8383042900473,2.3206106870229006
lingua2,accuracy_bounded,2.0,P2,c1-a-001,0.567809396485867,0.625,0.00016353,3472.2032439666546,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-001,0.9142857142857143,0.625,0.000168774,5417.218969069372,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-002,0.6193213649096002,0.625,0.00017043,3633.875285510768,2.425196850393701
lingua2,accuracy_bounded,2.0,P2,c1-a-002,0.6068213649096001,0.625,0.00016449600000000003,3688.9733787423406,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-002,1.0,0.625,0.00017181,5820.382981200163,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-003,0.6262477718360071,0.625,0.00017277600000000003,3624.6224697643597,2.2517985611510793
lingua2,accuracy_bounded,2.0,P2,c1-a-003,0.610609243697479,0.625,0.000165462,3690.3291613632073,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-003,0.925,0.625,0.00017015400000000002,5436.251865956721,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-004,0.5924242424242424,0.625,0.00016987800000000002,3487.35117216027,2.56198347107438
lingua2,accuracy_bounded,2.0,P2,c1-a-004,0.583495670995671,0.625,0.000163668,3565.1176222332465,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-004,0.8285714285714286,0.625,0.00016767000000000003,4941.679659876117,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-005,0.6049242424242424,0.625,0.000170292,3552.276339606337,2.4173228346456694
